ROWNO,LEGACY_CODE_NO,SPOT_NM,SPOT_STD_CODE,INFO_CREAT_INSTT_NM,CL_MIDDLE_NM,CL_SMALL_NM,DO_NM,CTY_NM,ADRES,ADMCODE,CRDNT_X,CRDNT_Y,ABL_AT,ABL_DE,DAY_AVG,CHARGE,INS_DATE,DEL_YN,OFFICE,OFFICE_TEL,BUILDING_NO,LOC_JIBUN,COMMT,YYYY,PERIOD,INSP_CHECK,UN_INSP_DESC,ACCEPT_YN,SUIT,UNSUIT,ITEM_GENBACLOW,ITEM_GENBACMID,ITEM_TOTBAC,ITEM_BAC,ITEM_FESTR,ITEM_BRANFUNGUS,ITEM_GRGUNGUS,ITEM_SALMOL,ITEM_SEGEL,ITEM_SULFUNGUS,ITEM_YERSINIA,ITEM_PB,ITEM_F,ITEM_GAS,ITEM_SE,ITEM_HG,ITEM_CN,ITEM_CR6,ITEM_NO3AM,ITEM_NO3N,ITEM_CD,ITEM_BORON,ITEM_BRO3,ITEM_PHENOL,ITEM_DIAZN,ITEM_PARAT,ITEM_PENITRO,ITEM_CARBARYL,ITEM_TCET,ITEM_TECE,ITEM_TCE,ITEM_DCM,ITEM_BENZENE,ITEM_TOLUENE,ITEM_ETILBEN,ITEM_XYLENE,ITEM_DCE,ITEM_CCL4,ITEM_DBCP,ITEM_C4H8O2,ITEM_GRADIENT,ITEM_KMN,ITEM_SMELL,ITEM_COLOR,ITEM_CU,ITEM_ABS,ITEM_PH,ITEM_ZN,ITEM_CL,ITEM_FE,ITEM_MN,ITEM_MUDDY,ITEM_SO42,ITEM_AL,ITEM_URAN,INSP_RST,FAIL_DESC,SAMP_DATE 
615,PUB_3291,폭포약수,11350E060000041,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 159-1,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,5,2,0,,검출,검출,,,,,,,,,,,,,,,0.04,2.2,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,대장균(검출) 총대장균군(검출),청소 및 주변정리 등,2017-09-05
616,PUB_3295,벽운동천,11350E060000045,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 42-1,1135010500,,,N,,200,서울시담당자,,N,,,,,,2017,9월,검사,,부적합,5,2,9,,검출,검출,,,,,,,,,,,,,,,0.04,0.6,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,대장균(검출) 총대장균군(검출),청소 및 주변정리 등,2017-09-05
617,PUB_2837,무지개,41135E060000004,경기,,,경기도,성남시분당구,경기도 성남시분당구 217,4113500000,,,N,,50,최상길,,N,,,,,,2018,4/4,검사,,부적합,10,12,0.0,0.0,검출,검출,검출,,,,,,,,,,,,,,불검출,0.8,,,,,,,,,,,,,,,,,,,,,,불검출,,,,,,,,,,,,,,"대장균(검출), 총대장균군(검출), 분원성대장균군(검출)",,2018-10-01
618,PUB_2838,한천,41135E060000005,경기,,,경기도,성남시분당구,경기도 성남시분당구 304-1,4113500000,,,N,,20,경기도담당자,,N,,,,,,2018,4/4,검사,,적합,22,0,0.0,1.0,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,2018-10-01
619,PUB_2275,명암,30170E060000002,대전,,,대전광역시,서구,대전광역시 서구 정림동 18-1,3017010400,,,N,,80,대전시담당자,19850101,N,환경과,042-611-5703,,,,2019,2/4,검사,,부적합,75,4,,4,검출,불검출,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,3.3,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,78,0.6,불검출,1,불검출,불검출,6.9,불검출,6.2,불검출,불검출,1.12,5,불검출,," 탁도(1.12), 총대장균군(검출)","사용중지후 재검사의뢰(검출), 사용중지",20190507
620,PUB_2671,마지막골약수터,47280E060000003,경북,,,경상북도,문경시,경상북도 문경시 불정동 339-8,4728010700,,,N,,250,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,9월,검사,,적합,78,0,6,,불검출,,불검출,,,,,,,,,,,,,,0,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,20200922
621,PUB_2672,돈달약수터,47280E060000004,경북,,,경상북도,문경시,경상북도 문경시 점촌동 15-10,4728010100,,,N,,70,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,1/4,검사,,적합,78,0,9,,불검출,,불검출,,,,,,,,,,,,,,0,1.8,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,20200324
622,PUB_2672,돈달약수터,47280E060000004,경북,,,경상북도,문경시,경상북도 문경시 점촌동 15-10,4728010100,,,N,,70,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,2/4,검사,,부적합,76,2,3,,불검출,,불검출,,,,,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,0.6,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,51,2.6,없음,1,불검출,불검출,6.7,0.003,5.8,0.05,불검출,1.48,11,0.04,불검출, 탁도(1.48),,20200623
623,PUB_2672,돈달약수터,47280E060000004,경북,,,경상북도,문경시,경상북도 문경시 점촌동 15-10,4728010100,,,N,,70,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,4/4,검사,,적합,21,0,10,,불검출,,불검출,,,,,,,,,,,,,,0,1.4,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,20201214
624,PUB_2672,돈달약수터,47280E060000004,경북,,,경상북도,문경시,경상북도 문경시 점촌동 15-10,4728010100,,,N,,70,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,9월,검사,,적합,78,0,11,,불검출,,불검출,,,,,,,,,,,,,,0,1.7,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,20200916
625,PUB_2673,성림약수터,47280E060000005,경북,,,경상북도,문경시,경상북도 문경시 흥덕동 5-1,4728010300,,,N,,80,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,1/4,검사,,적합,78,0,11,,불검출,,불검출,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,20200324
626,PUB_2673,성림약수터,47280E060000005,경북,,,경상북도,문경시,경상북도 문경시 흥덕동 5-1,4728010300,,,N,,80,경상북도담당자,19950816,N,수도사업소,054-550-8344,,,,2020,4/4,검사,,적합,21,0,3,,불검출,,불검출,,,,,,,,,,,,,,0,0.8,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,20201214
627,PUB_2812,구매탄,41117E060000002,경기,,,경기도,수원시영통구,경기도 수원시영통구 899,4111700000,,,N,,200,경기도담당자,,N,,,,,,2018,4/4,검사,,적합,22,0,0.0,,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,3.8,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,2018-10-16
628,PUB_2291,쌍옷샘(상),30230E060000003,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,9월,검사,,부적합,18,4,20,,검출,,불검출,,,,,,,,,,,,,,불검출,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,총대장균군(검출) ,사용금지 경고문 부착 약수터 청소 및 소독,2017-09-21
629,PUB_2292,쌍옷샘(하),30230E060000004,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,7월,검사,,부적합,18,4,22,,검출,,불검출,,,,,,,,,,,,,,불검출,9,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,총대장균군(검출),사용중지 부착 약수터 청소 및 소독,2017-07-27
630,PUB_2292,쌍옷샘(하),30230E060000004,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,8월,검사,,부적합,18,4,18,,검출,,불검출,,,,,,,,,,,,,,불검출,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,총대장균군(검출),사용금지 경고문 부착 약수터 청소 및 소독,2017-08-28
631,PUB_2292,쌍옷샘(하),30230E060000004,대전,,,대전광역시,대덕구,대전광역시 대덕구 법동 14-1,3023010800,,,N,,200,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,9월,검사,,적합,22,0,2,,불검출,,불검출,,,,,,,,,,,,,,불검출,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2017-09-21
632,PUB_2293,비래사,30230E060000005,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 1-15,3023011000,,,N,,500,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,7월,검사,,부적합,18,4,2,,검출,,불검출,,,,,,,,,,,,,,불검출,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,총대장균군(검출),사용중지 부착 약수터 청소 및 소독,2017-07-27
633,PUB_2293,비래사,30230E060000005,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 1-15,3023011000,,,N,,500,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,8월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2017-08-28
634,PUB_2293,비래사,30230E060000005,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 1-15,3023011000,,,N,,500,대전시담당자,19900101,N,환경관리팀,042-608-6811,,,,2017,9월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-09-21
635,PUB_2294,밭탕골,30230E060000006,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 34-19,3023011000,,,N,,1200,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,7월,검사,,적합,22,0,4,,불검출,,불검출,,,,,,,,,,,,,,불검출,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2017-07-27
636,PUB_2294,밭탕골,30230E060000006,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 34-19,3023011000,,,N,,1200,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,8월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2017-08-30
637,PUB_2294,밭탕골,30230E060000006,대전,,,대전광역시,대덕구,대전광역시 대덕구 비래동 34-19,3023011000,,,N,,1200,대전시담당자,19890101,N,환경관리팀,042-608-6811,,,,2017,9월,검사,,적합,22,0,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2017-09-21
638,PUB_2419,옷샘터,42820E060000008,강원,,,강원도,고성군,강원도 고성군 거진읍 60,4282025300,,,N,,20,강원도담당자,20000515,N,상하수도사업소,033-680-3766,,,,2017,9월,검사,,적합,22,0,불검출,,불검출,,불검출,,,,,,,,,,,,,,불검출,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,2017-09-14
639,PUB_2420,건봉사샘터,42820E060000009,강원,,,강원도,고성군,강원도 고성군 거진읍 2,4282025300,,,N,,80,강원도담당자,20000515,N,상하수도사업소,033-680-3766,,,,2017,7월,검사,,적합,22,0,불검출,,불검출,,불검출,,,,,,,,,,,,,,불검출,불검출,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,2017-07-13
640,PUB_2692,천주산입구,48121E060000005,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 917,4812100000,,,N,,150,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,7월,미검사,분기내 검사,,,,,불검출,,불검출,,,,,,,,,,,,,,불검출,5.9,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,불검출,2017-07-01
641,PUB_2692,천주산입구,48121E060000005,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 917,4812100000,,,N,,150,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,8월,미검사,7월완료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
642,PUB_2692,천주산입구,48121E060000005,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 917,4812100000,,,N,,150,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,9월,미검사,분기내검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
643,PUB_2694,태복산2,48121E060000007,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 11-1,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,7월,검사,,적합,22,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,6.1,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,불검출,2017-07-11
644,PUB_2694,태복산2,48121E060000007,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 11-1,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,8월,미검사,7월완료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
645,PUB_2694,태복산2,48121E060000007,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 11-1,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,9월,검사,,부적합,21,1,,불검출,,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일반세균(160.0),160,2017-09-05
646,PUB_2695,태복산3,48121E060000008,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 3,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,7월,검사,,적합,22,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,6.1,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,불검출,2017-07-11
647,PUB_2695,태복산3,48121E060000008,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 3,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,8월,미검사,7월완료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
648,PUB_2695,태복산3,48121E060000008,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 3,4812100000,,,N,,200,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,9월,검사,,적합,22,0,,불검출,,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2017-09-05
649,PUB_2696,사격장뒤,48121E060000009,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 34,4812100000,,,N,,100,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,7월,검사,,적합,22,0,,불검출,,불검출,,,,,,,,,,,,,,불검출,6.1,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,불검출,2017-07-11
650,PUB_2696,사격장뒤,48121E060000009,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 34,4812100000,,,N,,100,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,8월,미검사,7월완료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01
651,PUB_2696,사격장뒤,48121E060000009,경남,,,경상남도,창원시의창구,경상남도 창원시의창구 34,4812100000,,,N,,100,경상남도담당자,,N,수도시설과,055-225-6431,,,,2017,9월,검사,,적합,22,0,,불검출,,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2017-09-05
652,PUB_3504,북한산공원냉골조기회,11305E060000008,서울,,,서울특별시,강북구,서울특별시 강북구 수유동 ,1130510300,,,N,,100,서울시담당자,,N,,,,,,2017,4/4,검사,,부적합,6,1,,1,검출,불검출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총대장균군(검출),주변환경정비,2017-10-16
653,PUB_3270,수암계곡샘,11350E060000020,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 155-1,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,미검사,고갈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
654,PUB_3271,수암샘,11350E060000021,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 155-1,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,64.0,,검출,불검출,,,,,,,,,,,,,,,0.04,0.3,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,총대장균군(검출),,2017-05-16
655,PUB_3273,영원암샘,11350E060000023,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 1-2,1135010500,,,N,,50,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,0.0,,불검출,불검출,,,,,,,,,,,,,,,0.04,4.1,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,2017-05-16
656,PUB_3274,용천약수,11350E060000024,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 164-1,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,미검사,주의약수터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
657,PUB_3275,원터,11350E060000025,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 753-2,1135010500,,,N,,200,서울시담당자,,N,,,,,,2017,2/4,미검사,양호약수터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
658,PUB_3278,정암샘,11350E060000028,서울,,,서울특별시,노원구,서울특별시 노원구 중계동 26,1135010600,,,N,,300,서울시담당자,,N,,,,,,2017,2/4,미검사,주의약수터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
659,PUB_3280,제2불암산악회,11350E060000030,서울,,,서울특별시,노원구,서울특별시 노원구 중계동 101-1,1135010600,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,0.0,,불검출,불검출,,,,,,,,,,,,,,,0.04,2.0,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,2017-05-16
660,PUB_3251,광석,11350E060000001,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 53,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,138,5,0.0,,불검출,불검출,,,,,,,,,,,,,,,0.04,2.0,,,,,,,,,,,,,,,,,,,,,,0.31,불검출,,검출,검출,,,,,,,,,,세제(음이온계면활성제)(검출) 색도(검출),,2017-05-16
661,PUB_3252,구암,11350E060000002,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 1-2,1135010500,,,N,,50,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,5.0,,검출,불검출,,,,,,,,,,,,,,,0.04,4.0,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,총대장균군(검출),부적합 경고문 부착 및 청소실시,2017-05-16
662,PUB_3255,노원배드민턴,11350E060000005,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 53,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,0.0,,불검출,불검출,,,,,,,,,,,,,,,0.04,1.4,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,2017-05-16
663,PUB_3257,도암,11350E060000007,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 84-26,1135010500,,,N,,150,서울시담당자,,N,,,,,,2017,2/4,미검사,고갈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
664,PUB_3259,동막골,11350E060000009,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 155-1,1135010500,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,134,9,340.0,,검출,검출,,,,,,,,,,,,,,,0.04,0.8,,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,총대장균군(검출) 대장균(검출) 일반세균(340.0),,2017-05-16
665,PUB_3261,보람샘,11350E060000011,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 686,1135010500,,,N,,200,서울시담당자,,N,,,,,,2017,2/4,검사,,적합,143,0,0.0,,불검출,불검출,,,,,,,,,,,,,,,0.04,7.3,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,2017-05-16
666,PUB_3263,불암산악회,11350E060000013,서울,,,서울특별시,노원구,서울특별시 노원구 중계동 101-1,1135010600,,,N,,100,서울시담당자,,N,,,,,,2017,2/4,미검사,고갈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
667,PUB_3264,불암약수,11350E060000014,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 164-9,1135010500,,,N,,150,서울시담당자,,N,,,,,,2017,2/4,검사,,부적합,139,4,0.0,,검출,불검출,,,,,,,,,,,,,,,0.04,2.7,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,총대장균군(검출),,2017-05-16
668,PUB_3266,산신제터,11350E060000016,서울,,,서울특별시,노원구,서울특별시 노원구 상계동 145-24,1135010500,,,N,,150,서울시담당자,,N,,,,,,2017,2/4,미검사,양호약수터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16
669,PUB_3282,중계샘,11350E060000032,서울,,,서울특별시,노원구,서울특별시 노원구 중계동 40-5,1135010600,,,N,,150,서울시담당자,,N,,,,,,2017,1/4,미검사,미검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01
670,PUB_3514,북한산공원산정,11320E060000007,서울,,,서울특별시,도봉구,서울특별시 도봉구 도봉동 ,1132010800,,,N,,100,서울시담당자,,N,,,,,,2017,1/4,미검사,미검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-01
671,PUB_3525,북한산공원쌍줄기,11320E060000009,서울,,,서울특별시,도봉구,서울특별시 도봉구 도봉동 ,1132010800,,,N,,100,서울시담당자,,N,,,,,,2017,1/4,미검사,미검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-01
672,PUB_3539,북한산공원제8휴식처,11320E060000011,서울,,,서울특별시,도봉구,서울특별시 도봉구 도봉동 ,1132010800,,,N,,100,서울시담당자,,N,,,,,,2017,1/4,미검사,미검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-01
673,PUB_3514,북한산공원산정,11320E060000007,서울,,,서울특별시,도봉구,서울특별시 도봉구 도봉동 ,1132010800,,,N,,100,서울시담당자,,N,,,,,,2017,1/4,미검사,폐쇄(2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-01
674,PUB_3525,북한산공원쌍줄기,11320E060000009,서울,,,서울특별시,도봉구,서울특별시 도봉구 도봉동 ,1132010800,,,N,,100,서울시담당자,,N,,,,,,2017,1/4,미검사,폐쇄(2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-01
675,PUB_2261,가늠골공동우물,30140E060000001,대전,,,대전광역시,중구,대전광역시 중구 석교동 269-19,3014010700,,,N,,200,대전시담당자,19750101,N,환경과,042-606-6471,,,,2017,7월,검사,,적합,22,0,2,,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,5.4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,, ,2017-07-24
676,PUB_2261,가늠골공동우물,30140E060000001,대전,,,대전광역시,중구,대전광역시 중구 석교동 269-19,3014010700,,,N,,200,대전시담당자,19750101,N,환경과,042-606-6471,,,,2017,8월,검사,,적합,22,0,3,,불검출,불검출,불검출,,,,,,,,,,,,,,불검출,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2017-08-22
677,PUB_2665,지경터,47210E060000001,경북,,,경상북도,영주시,경상북도 영주시 봉현면 1-1,4721036000,,,N,,60,경상북도담당자,19810718,N,영주시수도사업소,054-639-7273,,,,2017,8월,검사,,적합,22,0,8,,불검출,,불검출,,,,,,,,,,,,,,0,2.8,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2017-08-03
678,PUB_2665,지경터,47210E060000001,경북,,,경상북도,영주시,경상북도 영주시 봉현면 1-1,4721036000,,,N,,60,경상북도담당자,19810718,N,영주시수도사업소,054-639-7273,,,,2017,9월,검사,,적합,22,0,8,,불검출,,불검출,,,,,,,,,,,,,,0,2.4,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,총대장균군(검출) ,,2017-09-06
679,PUB_2666,남장사약수터,47250E060000001,경북,,,경상북도,상주시,경상북도 상주시 남장동 63-2,4725013500,,,N,,100,경상북도담당자,19960309,N,상하수도사업소,054-537-8785,,,,2017,7월,검사,,적합,22,0,40,,불검출,불검출,,,,,,,,,,,,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,2017-07-21
680,PUB_2666,남장사약수터,47250E060000001,경북,,,경상북도,상주시,경상북도 상주시 남장동 63-2,4725013500,,,N,,100,경상북도담당자,19960309,N,상하수도사업소,054-537-8785,,,,2017,8월,검사,,적합,22,0,20,,불검출,불검출,,,,,,,,,,,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,2017-08-31
681,PUB_2666,남장사약수터,47250E060000001,경북,,,경상북도,상주시,경상북도 상주시 남장동 63-2,4725013500,,,N,,100,경상북도담당자,19960309,N,상하수도사업소,054-537-8785,,,,2017,9월,검사,,부적합,18,4,65,,검출,불검출,,,,,,,,,,,,,,,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,총대장균군(검출) ,사용중지(재검사 적합),2017-09-20
682,PUB_2667,대전리약수터,47250E060000002,경북,,,경상북도,상주시,경상북도 상주시 외서면 194,4725043000,,,N,,50,경상북도담당자,19960309,N,상하수도사업소,054-537-8785,,,,2017,7월,검사,,적합,22,0,0,,불검출,불검출,,,,,,,,,,,,,,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2017-07-21
